label,video_url,file_exists,letter,assuntos,acepção,exemplo,exemplo libras,classe gramatical,origem
IDEM,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/idem1Sm_Prog001.mp4,False,I,NENHUM,O mesmo que; igualmente; da mesma maneira.,"Você pediu um hambúrger, eu idem.",HAMBÚRGER VOCÊ PEDIR EU IDEM.,PRONOME,Nacional
IDÊNTICO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/identicoSm_Prog001.mp4,True,I,NENHUM,Perfeitamente igual; semelhante.,Ele tem um irmão gêmeo idêntico.,EL@ TER IRM@ GÊME@ IDÊNTIC@.,ADJETIVO,Nacional
IDENTIDADE1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/identidadeSm_Prog001.mp4,True,I,NENHUM,Identificação oficial; carteira ou cédula de identidade que identifica cada cidadão.,Perdi a carteira de identidade na rua.,EU R-U-A PERDER IDENTIDADE.,SUBSTANTIVO,Nacional
IDIOMA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/idiomaSm_Prog001.mp4,True,I,NENHUM,Língua falada por uma nação ou povo.,"O professor novo usa um idioma diferente, parece alemão.",PROFESSOR@ NOV@ IDIOMA DIFERENTE PARECER ALEMÃO.,SUBSTANTIVO,Nacional
IDIOTA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/idiotaSm_Prog001.mp4,True,I,NENHUM,Aquele que tem pouca inteligência; estúpido; imbecil.,Estou com raiva pois meu namorado falou que sou idiota.,EU RAIVA NAMORAD@ EL@ FALAR EU IDIOTA.,ADJETIVO,Nacional
IDOSO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/idosoSm_Prog001.mp4,True,I,NENHUM,Aquele que tem muitos anos de vida; velho.,O ônibus liberou os idosos para entrarem de graça.,ÔNIBUS LIBERAR IDOS@ GRATUIT@ ENTRAR.,ADJETIVO,Nacional
IGNORANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ignoranteSm_Prog001.mp4,True,I,NENHUM,Quem não tem instrução; inculto.,A pessoa ignorante precisa de ajuda.,PESSOA IGNORANTE PRECISAR AJUDAR.,ADJETIVO,Nacional
IGNORAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ignorarSm_Prog001.mp4,True,I,NENHUM,"Desconsiderar, não ligar.","Se ele falar mal de você, ignore.",S-I EL@ FALAR M-A-L VOCÊ IGNORAR.,VERBO,Nacional
IGREJA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/igrejaSm_Prog001.mp4,True,I,NENHUM,"Templo cristão; local de culto, cerimônias religiosas e orações.",Eu freqüento a igreja todos os domingos.,CASA^CRUZ EU FREQÜENTAR DOMINGO TOD@.,SUBSTANTIVO,Nacional
IGUAL1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/igualSm_Prog001.mp4,True,I,NENHUM,"De mesmo valor, aspecto ou quantidade, idêntico.",Comprei um carro novo igual ao do seu tio.,EU COMPRAR CARRO NOV@ IGUAL SE@ TI@.,ADJETIVO,Nacional
IGUAL2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/igual2Sm_Prog001.mp4,True,I,NENHUM,"De mesmo valor, aspecto ou quantidade, idêntico.",Comprei um carro novo igual ao do seu tio.,EU COMPRAR CARRO NOV@ IGUAL SE@ TI@.,ADJETIVO,Nacional
IGUAL3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/igual3Sm_Prog001.mp4,True,I,NENHUM,Semelhante; com o mesmo comportamento; que faz da mesma maneira.,Seu filho é levado igual ao meu.,SE@ FILH@ ME@ FILH@ LEVAD@ IGUAL.,ADJETIVO,Nacional
ILEGAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ilegalSm_Prog001.mp4,True,I,NENHUM,Contrário à lei; ilegítimo; ilícito.,Esse documento é ilegal.,DOCUMENTO ESS@ ILEGAL.,ADJETIVO,Nacional
ILEGAL2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ilegal2Sm_Prog001.mp4,True,I,NENHUM,O que não segue as exigências da lei.,A Associação tinha um documento ilegal e a Prefeitura proibiu a verba.,ASSOCIAÇÃO DOCUMENTO I-L-E-G-A-L PREFEITURA VERBA PROIBIR.,ADJETIVO,Nacional
ILEGÍVEL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ilegivelSm_Prog001.mp4,True,I,NENHUM,Impossível de ser lido; escrito de modo incompreensível.,O documento da escola é ilegível e precisa ser modificado.,DOCUMENTO CASA^ESTUDO ESCRITA SEM-NITIDEZ PRECISAR MODIFICAR.,ADJETIVO,Nacional
ILHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ilhaSm_Prog001.mp4,True,I,PLANTA/FLOR/NATUREZA,Porção de terra cercada de água por todos os lados.,Eu conheci uma ilha linda!,EU JÁ CONHECER LÁ I-L-H-A LIND@!,SUBSTANTIVO,Nacional
ILUMINAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/iluminarSm_Prog001.mp4,True,I,NENHUM,Trazer a luz; tornar claro; clarear.,"Você precisa iluminar a sua casa, está tão escura que não dá para ver.",PRECISAR SE@ CASA ILUMINAR ESCUR@ VER-NÃO.,VERBO,Nacional
ILUSTRAÇÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ilustracaoSm_Prog001.mp4,True,I,NENHUM,"Desenho, gravura ou imagem que acompanha um texto.",Adoro livro com ilustração!,ADORAR LIVRO ILUSTRAÇÃO!,SUBSTANTIVO,Nacional
ILUSTRAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ilustrarSm_Prog001.mp4,True,I,NENHUM,"Fazer ilustrações; decorar uma publicação com estampas, imagens, figuras.","Você ilustrou muito bem o livro, fiquei admirado!",VOCÊ LIVRO ILUSTRAR PERFEIT@ EU ADMIRAD@!,VERBO,Nacional
IMAGEM1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imagemSm_Prog001.mp4,False,I,NENHUM,"Representação de uma pessoa, animal ou objeto, obtida por meio de desenho, gravura ou escultura.",Está fofa a imagem de meu filho na foto.,FILH@ ME@ FOTO IMAGEM FOF@.,SUBSTANTIVO,Nacional
IMAGINAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imaginarSm_Prog001.mp4,True,I,NENHUM,Conceber; idealizar; fantasiar.,Minha amiga está imaginando como irá decorar a casa dela.,AMIG@ ME@ IMAGINAR COMO DECORAR CASA DEL@.,VERBO,Nacional
IMEDIATAMENTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imediatamenteSm_Prog001.mp4,True,I,NENHUM,Agora; neste momento; já; logo.,Minha filha está doente e precisa ir ao médico imediatamente.,ME@ FILH@ DOENTE PRECISAR IMEDIATAMENTE MÉDIC@.,ADV.,Nacional
IMENSO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imensoSm_Prog001.mp4,True,I,NENHUM,Enorme; muito grande; de grande extensão.,A amazonas tem imensa floresta bonita.,AMAZONAS FLORESTA IMENS@ BONIT@.,ADJETIVO,Nacional
IMERGIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imergirSm_Prog001.mp4,True,I,NENHUM,Afundar; mergulhar na água.,Nas férias passada eu imergi em uma praia limpa com muitos peixes.,PASSAD@ FÉRIAS EU IMERGIR PRAIA LIMP@ PEIXE MUIT@ peixeNADAR.,VERBO,Nacional
IMITAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imitarSm_Prog001.mp4,True,I,NENHUM,Fazer do mesmo modo; copiar.,Você gosta de imitar as pessoas.,VOCÊ GOSTAR PESSOA IMITAR.,VERBO,Nacional
IMPARCIAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imparcialSm_Prog001.mp4,True,I,NENHUM,Aquele que julga de modo isento e justo.,Vocês dois brigaram ontem e eu fiquei imparcial.,VOCÊ-2 BRIGAR ONTEM EU IMPARCIAL.,ADJETIVO,Nacional
IMPEDIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impedirSm_Prog001.mp4,True,I,NENHUM,Evitar; não permitir; não consentir; coibir.,"O professor vai brigar com você, mas eu vou tentar impedir.",PROFESSOR@ V-A-I 3sBRIGAR2s EU TENTAR IMPEDIR.,VERBO,Nacional
IMPERADOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imperadorSm_Prog001.mp4,True,I,PROFISSÃO/TRABALHO,O que impera; soberano que rege um império.,Antigamente os imperadores do Brasil eram D. Pedro I e D. Pedro II.,P-E-D-R-O PRIMEIRO P-E-D-R-O SEGUNDO ANTIGAMENTE IMPERADOR BRASIL,SUBSTANTIVO,Nacional
IMPERFEITO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imperfeitoSm_Prog001.mp4,True,I,NENHUM,O que não é perfeito; defeituoso.,"Não gostei da obra na minha casa, ela ficou imperfeita.",CASA OBRA EU GOSTAR-NÃO IMPERFEIT@.,ADJETIVO,Nacional
IMPÉRIO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imperioSm_Prog001.mp4,True,I,NENHUM,"Monarquia, chefiada por um imperador ou por uma imperatriz.",O império no Brasil acabou no ano de 1889.,IMPÉRIO BRASIL ACABAR PASSADO 1889.,SUBSTANTIVO,Nacional
IMPLANTE COCLEAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/implante-coclearSm_Prog001.mp4,False,I,NENHUM,Técnica de implantação no aparelho auditivo para compensar sua deficiência de funcionamento.,Os surdos adultos são contra o implante coclear.,SURD@ ADULT@ CONTRA IMPLANTE-COCLEAR.,SUBSTANTIVO,Nacional
IMPLORAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/implorarSm_Prog001.mp4,True,I,NENHUM,Suplicar; pedir com humildade.,"Eu imploro: devolva meu livro, preciso estudar!",EU IMPLORAR DEVOLVER LIVRO ME@ PRECISAR ESTUDAR!,VERBO,Nacional
IMPOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imporSm_Prog001.mp4,True,I,NENHUM,Obrigar; instituir; determinar.,"O pai que impõe à sua filha casar com homem rico, está errado.",P-A-I IMPOR FILH@ CASAR HOMEM RIC@ ERRAD@.,VERBO,Nacional
IMPORTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/importadoSm_Prog001.mp4,True,I,NENHUM,O que é originário de outro país.,Meu tio comprou um carro importado.,CARRO IMPORTADO ME@ TI@ COMPRAR JÁ.,ADJETIVO,Nacional
IMPORTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/importarSm_Prog001.mp4,True,I,NENHUM,Trazer do exterior; comprar um produto fabricado fora do país.,Eu sonho ganhar muito dinheiro para importar um carro.,EU SONHO CARRO IMPORTAR DINHEIRO GANHAR B-E-M.,VERBO,Nacional
IMPORTUNAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/importunarSm_Prog001.mp4,True,I,NENHUM,Incomodar; molestar; interromper.,"Meu filho está estudando para a prova, favor não importunar.",ME@ FILH@ ESTUDAR PROVA FAVOR IMPORTUNAR NÃO.,VERBO,Nacional
IMPOSSÍVEL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impossivelSm_Prog001.mp4,True,I,NENHUM,Irrealizável; inatingível; o que não pode acontecer.,Você vai comprar carro!? Impossível! Onde irá conseguir dinheiro?,VOCÊ V-A-I COMPRAR CARRO!? IMPOSSÍVEL! ONDE CONSEGUIR DINHEIRO?,ADJETIVO,Nacional
IMPOSTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impostoSm_Prog001.mp4,True,I,NUMERAL/DINHEIRO,"Tributo cobrado pelo governo aos cidadãos e instituições, para ser aplicado em benefício da coletividade.","O imposto no Shopping Center é alto, não consegui alugar uma loja.",SHOPPING IMPOSTO ALT@ EU CONSEGUIR-NÃO L-O-J-A ALUGAR.,ADJETIVO,Nacional
IMPOTÊNCIA SEXUAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impotencia_sexualSm_Prog001.mp4,False,I,NENHUM,Incapacidade masculina de manter a ereção durante o ato sexual.,O homem com problema de impotência precisa ir ao médico.,HOMEM PROBLEMA IMPOTÊNCIA PRECISAR IR MÉDIC@.,LOC. SUBST.,Nacional
IMPRENSAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imprensarSm_Prog001.mp4,True,I,NENHUM,Amassar; achatar.,"Eu pego todas as latas e você imprensa, ok?",LATA TOD@ EU PEGAR VOCÊ IMPRENSAR OK?,VERBO,Nacional
IMPRESSÃO DIGITAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impressao_digitalSm_Prog001.mp4,True,I,CORPO,"A marca dos dedos de cada indivíduo, que informa sua identidade. Pode ser usada como assinatura para os que não conseguem ou não sabem assinar o nome.","Se a pessoa não sabe assinar o nome, não tem problema, pode deixar uma impressão digital.",PESSOA SABER-NÃO NOME ASSINAR PROBLEMA TER-NÃO PODER IMPRESSÃO-DIGITAL.,SUBSTANTIVO,Nacional
IMPRESSIONANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impressionanteSm_Prog001.mp4,True,I,NENHUM,"Marcante; o que impressiona, chama a atenção.","É impressionante, o governo conseguiu acabar com o analfabetismo!",IMPRESSIONANTE GOVERNO CONSEGUIR ACABAR ANALFABET@!,ADJETIVO,Nacional
IMPRESSIONAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impressionarSm_Prog001.mp4,True,I,NENHUM,Causar impressão; despertar interesse; chamar a atenção.,Eu me impressionei vendo uma criança surda dançar tão perfeito.,EU VER CRIANÇA SURD@ DANÇAR PERFEITOmuito EU IMPRESSIONAR.,VERBO,Nacional
IMPRESSORA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impressoraSm_Prog001.mp4,True,I,APARELHO/MÁQUINA,Máquina que realiza impressão gráfica.,Eu preciso comprar uma impressora.,EU PRECISAR COMPRAR IMPRESSORA.,SUBSTANTIVO,Nacional
IMPRIMIR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imprimir1Sm_Prog001.mp4,True,I,NENHUM,"Passar um texto para o papel, por meio das técnicas de impressão.","Por favor, imprima o ofício, preciso entregá-lo amanhã.",POR-FAVOR IMPRIMIR OFÍCIO AMANHÃ PRECISAR 1sENTREGAR3s.,VERBO,Nacional
IMPRIMIR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imprimir2Sm_Prog001.mp4,True,I,NENHUM,"Passar, por exemplo, um texto para o papel ou para outro suporte apropriado, por meio das técnicas de impressão.","Eu preciso imprimir urgente, para ficar pronto em duas semanas.",EU URGENTE PRECISAR IMPRIMIR PRONTO 2 SEMANA.,VERBO,Nacional
IMPUREZA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/impurezaSm_Prog001.mp4,True,I,HIGIENE/SAÚDE,Tudo que perturba a pureza de uma substância; sujeira; detrito.,Agora a praia tem muitas impurezas por causa do vazamento dos esgotos.,PRAIA AGORA MUIT@ IMPUREZA POR-CAUSA ESGOTO VAZAMENTO.,SUBSTANTIVO,Nacional
IMUNDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/imundoSm_Prog001.mp4,True,I,HIGIENE/SAÚDE,Muito sujo; com detritos; sem higiene.,"A casa do meu amigo é imunda, eu nunca irei lá.",AMIG@ CASA IMUND@ EU NUNCA-MAIS CASA IR.,ADJETIVO,Nacional
INALAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inalarSm_Prog001.mp4,True,I,NENHUM,Aspirar; absorver por meio de inalação.,"O médico mandou a criança doente inalar todos os dias, com o nebulizador.",CRIANÇA DOENTE MÉDICO MANDAR INALAR N-E-B-U-L-I-Z-A-D-O-R TODO-DIA.,VERBO,Nacional
INAUGURAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inaugurarSm_Prog001.mp4,True,I,NENHUM,Iniciar as atividades; dar início; fazer pela primeira vez.,Meu irmão inaugurou uma nova loja.,IRM@ ME@ INAUGURAR L-O-J-A NOV@.,VERBO,Nacional
INCENDIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incendiarSm_Prog001.mp4,True,I,NENHUM,Queimar; pôr fogo.,"Você é doido, quer incendiar casa antiga!",VOCÊ DOID@ QUERER INCENDIAR CASA ANTIG@!,VERBO,Nacional
INCÊNDIO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incendioSm_Prog001.mp4,True,I,NENHUM,Ato de incendiar; fogo em extensão e intensidade.,O incêndio de ontem foi horrível e os bombeiros demoraram duas horas para acabar com ele.,ONTEM INCÊNDIO HORRÍVEL BOMBEIRO DEMORAR ACABAR 2-HORA.,SUBSTANTIVO,Nacional
INCENSO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incensoSm_Prog001.mp4,True,I,MATÉRIA/SUBSTÂNCIA,"Material como resinas ou madeiras, que ao ser usado queimado, irradia determinado cheiro no ambiente.",Fui ontem à casa da minha amiga e havia um cheiro de incenso muito bom.,ONTEM EU IR CASA AMIG@ EU CHEIRO INCENSO BO@muito.,SUBSTANTIVO,Nacional
INCENTIVAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incentivarSm_Prog001.mp4,True,I,NENHUM,Dar incentivo; estimular.,Nós precisamos incentivar os surdos a estudar na faculdade.,PRECISAR NÓS INCENTIVAR SURD@ ESTUDAR FACULDADE.,VERBO,Nacional
INCHAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incharSm_Prog001.mp4,True,I,NENHUM,Aumentar de volume; dilatar; intumescer.,"A criança torceu o pé, ele inchou e ela chorou muito.",CRIANÇA PÉ-TORCER INCHAR CHORAR-muito.,VERBO,Nacional
INCINERAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incinerarSm_Prog001.mp4,True,I,NENHUM,Reduzir a cinzas; queimar.,Na casa do vizinho incineram o lixo e o cheiro foi horrível.,CASA VIZINH@ LIXO FÓSFORO ACENDER-FOGO CHEIRO HORRÍVEL.,VERBO,Nacional
INCLINAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inclinarSm_Prog001.mp4,True,I,NENHUM,Desviar da linha reta; dobrar.,Ela me ajudou a inclinar a poltrona que estava dura.,ONTEM EL@ 3sAJUDAR1s POLTRONA DUR@ INCLINAR.,VERBO,Nacional
INCLUÍDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incluidoSm_Prog001.mp4,True,I,NENHUM,O que faz parte; o que vai junto.,Você comprou uma roupa que tem um brinco grátis incluído.,VOCÊ COMPRAR ROUPA TER INCLUIND@ BRINCO GRÁTIS.,ADJETIVO,Nacional
INCLUIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incluirSm_Prog001.mp4,True,I,NENHUM,Promover a inclusão; inserir; introduzir.,A Escola vai incluir vários deficientes.,CASA^ESTUD@ V-A-I INCLUIR DEFICIENTE VÁRI@.,VERBO,Nacional
INCLUSÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inclusaoSm_Prog001.mp4,True,I,NENHUM,Ação de incluir pessoas ou grupos no todo social.,"O governo acha que a inclusão é importante, mas os surdos não a querem.","INCLUSÃO CASA^ESTUDO GOVERNO ACHAR IMPORTANTE, MAS SURD@ QUERER-NÃO.",SUBSTANTIVO,Nacional
INCLUSO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inclusoSm_Prog001.mp4,True,I,NENHUM,O que foi incluído.,"Meu primo comprou uma máquina de fotografia barata, com pilhas grátis inclusas.",PRIM@ COMPRAR MÁQUINA-FOTOGRÁFICA BARAT@ P-I-L-H-A INCLUS@ GRÁTIS.,ADJETIVO,Nacional
INCOMODAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incomodarSm_Prog001.mp4,True,I,NENHUM,Causar incômodo; provocar distúrbio; perturbar.,"O teto tem furo e a água da chuva pinga, formando uma poça que me incomoda.",TETO TER FURO CHUVA ÁGUA PINGAR EU INCOMODAR.,VERBO,Nacional
INCORPORADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incorporadoSm_Prog001.mp4,True,I,NENHUM,Que foi objeto ou motivo de incorporação; absorvido.,Há frases na LIBRAS em que a preposição está incorporada ao verbo.,LIBRAS FRASE+ P-R--E-P-O-S-I-Ç-Ã-O VERBO INCORPORAD@.,ADJETIVO,Nacional
INCULTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/incultoSm_Prog001.mp4,True,I,NENHUM,Despreparado; sem cultura; ignorante.,O aluno novo é inculto porque a escola anterior foi fraca e nada ensinou.,A-L-U-N-@ NOV@ INCULTO POR-CAUSA ANTERIOR CASA^ESTUDO FRAC@ ENSINAR NADA.,ADJETIVO,Nacional
INDECISO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indecisoSm_Prog001.mp4,True,I,NENHUM,Hesitante; aquele que ainda não tomou uma decisão.,"Eu vou comprar um carro, mas estou indeciso: qual escolher?",EU COMPRAR CARRO INDECISO ESCOLHER QUAL?,ADJETIVO,Nacional
INDEPENDÊNCIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/independenciaSm_Prog001.mp4,False,I,NENHUM,O que rompeu com a dependência.,"A independência do Brasil, no dia sete de setembro, é sempre feriado.",INDEPENDÊNCIA BRASIL D-I-A 7 SETEMBRO SEMPRE FERIADO.,SUBSTANTIVO,Nacional
INDEPENDENTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/independenteSm_Prog001.mp4,True,I,NENHUM,Aquele que é livre de qualquer tipo de dependência.,"Completei 18 anos, agora sou independente.",EU JÁ IDADE 18 AGORA EU INDEPENDENTE.,ADJETIVO,Nacional
INDIANO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indianoSm_Prog001.mp4,True,I,NENHUM,Nascido na Índia; natural da Índia.,Um amigo meu indiano quer morar mo Brasil.,AMIG@ ME@ INDIAN@ QUERER MORAR BRASIL.,ADJETIVO,Nacional
INDICADOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indicadorSm_Prog001.mp4,True,I,CORPO,"Dedo da mão situado entre o médio e o polegar, assim conhecido por ser o mais usado quando se aponta algo ou alguém.",Ele perdeu o dedo indicador por causa do trabalho na fábrica.,DEDO-INDICADOR EL@ PERDER POR-CAUSA TRABALHO FÁBRICA.,ADJETIVO,Nacional
INDICAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indicarSm_Prog001.mp4,True,I,NENHUM,Apontar; mostrar através de gestos ou informações.,Eu indico a você um bom professor.,EU INDICAR MEDIC@ BO@ VOCÊ QUERER?,VERBO,Nacional
INDIFERENTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indiferenteSm_Prog001.mp4,True,I,NENHUM,Desinteressado; apático.,"Meu marido é indiferente, não se preocupa com nada.",ME@ ESPOS@ INDIFERENTE PREOCUPAR NADA.,ADJETIVO,Nacional
INDIGESTÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indigestaoSm_Prog001.mp4,True,I,HIGIENE/SAÚDE,"Perturbação digestiva, proveniente do excesso ou má qualidade dos alimentos ingeridos.",Eu tive indigestão porque comi com exagero.,EU INDIGESTÃO ONTEM COMERmuito EXAGERAD@.,SUBSTANTIVO,Nacional
INDISCRETO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/indiscretoSm_Prog001.mp4,True,I,NENHUM,Aquele que não usa de discreção; o que procura saber ou relatar os segredos dos outros; inconfidente.,"Esse aluno é indiscreto, sempre entra no banheiro das mulheres.",ESS@ ALUN@ INDISCRET@ BANHEIRO MULHER SEMPRE ENTRAR.,ADJETIVO,Nacional
INDIVIDUAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/individualSm_Prog001.mp4,True,I,NENHUM,O que só diz respeito ou é peculiar a uma pessoa.,Eu recebi um convite individual para o casamento da minha amiga.,EU RECEBER CONVITE INDIVIDUAL AMIG@ ME@ CASAMENTO.,ADJETIVO,Nacional
INDIVÍDUO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/individuoSm_Prog001.mp4,True,I,NENHUM,Ser biológico; cada pessoa.,O diretor da escola é um indivíduo especial que sempre ajuda os alunos.,DIRETOR@ CASA^ESTUDO INDIVÍDUO ESPECIAL SEMPRE 3sAJUDAR3s A-L-U-N-O.,ADJETIVO,Nacional
INFANTIL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/infantilSm_Prog001.mp4,True,I,NENHUM,Relativo à criança; próprio para crianças.,Vou levar meus filhos para ver o teatro infantil.,EU LEVAR FILH@ VER TEATRO INFANTIL.,ADJETIVO,Nacional
INFELIZ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/infelizSm_Prog001.mp4,True,I,NENHUM,Aquele que não é feliz; desditoso.,A avó está infeliz porque seu neto foi embora.,V-O-V-Ó INFELIZ N-E-T-O EMBORA.,ADJETIVO,Nacional
INFERIOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inferiorSm_Prog001.mp4,True,I,NENHUM,"O que está abaixo em qualidade, valor, importância ou hierarquia; por baixo; mais baixo.","Ele é chefe superior da Marinha, meu pai é inferior.",EL@ MARINHA CHEFE SUPERIOR ME@ P-A-I INFERIOR.,ADJETIVO,Nacional
INFERNO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/infernoSm_Prog001.mp4,True,I,NENHUM,"Segundo o cristianismo, o local para onde vai a alma de quem comete pecados.","Você nunca foi à igreja, por isso vai para o inferno.",VOCÊ N-U-N-C-A IR IGREJA DESCER INFERNO.,SUBSTANTIVO,Nacional
INFLAÇÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inflacaoSm_Prog001.mp4,True,I,NUMERAL/DINHEIRO,"Emissão excessiva de papel-moeda, provocando a redução do valor real de uma moeda em relação a determinado padrão monetário estável ou ao ouro; aumento dos níveis de preço.",A inflação no Brasil sempre é alta.,INFLAÇÃO BRASIL SEMPRE ALT@,SUBSTANTIVO,Nacional
INFLAMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/inflamarSm_Prog001.mp4,True,I,NENHUM,Entrar em um processo inflamatório; criar uma inflamação.,"Eu estava jogando futebol e meu amigo deu uma pancada no meu pé, que inflamou.",ONTEM EU JOGAR-FUTEBOL AMIG@ PANCADA-PERNA P-É INFLAMAR.,VERBO,Nacional
INFLUENCIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/influenciarSm_Prog001.mp4,True,I,NENHUM,Exercer influência sobre alguém; fazer com que uma pessoa modifique ou absorva uma idéia.,Minha mãe me influenciou para estudar na faculdade.,M-Ã-E 2sINFLUENCIAR1s EU ESTUDAR FACULDADE.,VERBO,Nacional
INFLUENZA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/influenzaSm_Prog001.mp4,True,I,HIGIENE/SAÚDE,Gripe; influença.,"Não posso beijar no rosto, estou com influenza.",EU BEIJAR-ROSTO PODER-NÃO EU INFLUENZA.,SUBSTANTIVO,Nacional
